idioma,nome_idioma,energy_mean,energy_variance,energy_min,energy_max,energy_amplitude,spectral_skewness,spectral_kurtosis,mean_interband_diff,var_interband_diff,spectral_entropy,spectral_entropy_norm,effective_scales,spectral_flatness,energy_cdf_50,energy_cdf_80,length
ca,Catalão,1.3877787807814457e-17,0.17718320981519065,0.1398587563868382,0.40195495596796604,0.41422830906467895,0.967749746151236,0.9566060608616594,0.6388068182603581,0.17995742548788593,0.7203340608137037,0.7203340608137034,0.4123741565647535,0.5341471048725085,0.23809523809523808,0.6666666666666666,0.004636465247209162
ca,Catalão,1.3877787807814457e-17,0.10157562910144363,0.35026579898221005,0.299277201050527,0.3076460829692352,0.9742559857491544,0.965305737355292,0.48051151484854454,0.1093205329158653,0.8256048313251595,0.8256048313251595,0.580233193008265,0.7136894224632208,0.47619047619047616,0.7666666666666666,0.025403965833666817
ca,Catalão,1.3877787807814457e-17,0.16550957892414728,0.12143801096279648,0.38623332114237086,0.39946907087243166,0.9579600344835962,0.9424598699362755,0.6536267664817792,0.1773880339238241,0.7323370752622148,0.7323370752622146,0.4290313705492663,0.5537239573907035,0.2857142857142857,0.7,0.004664063254633019
ca,Catalão,1.3877787807814457e-17,0.03719487546383525,0.36816788262093725,0.16119166519116415,0.17247671002951293,0.8176389758486425,0.7539344760452746,0.48558354373696994,0.04356708408754964,0.9085836768716532,0.908583676871653,0.7537641834281735,0.8004264465672922,0.6190476190476191,0.7666666666666666,0.005961169603554625
ca,Catalão,1.3877787807814457e-17,0.8893773267750077,0.08839169321168064,0.94160673957448,0.9419135457286653,0.9999911669589261,0.9999880880488541,0.7819081434096757,0.8916224416716797,0.09807207307543009,0.09807207307543006,0.019197800116082908,0.0703605378605177,0.0,0.0,0.37406339262305266
ca,Catalão,1.3877787807814457e-17,0.2494878389461746,0.2313576061754567,0.4851387912889409,0.49250388945993,0.9895834330111686,0.9857978286414829,0.5495503046216528,0.22626143782833638,0.6573804017834386,0.6573804017834384,0.3338930839606736,0.521377769616331,0.047619047619047616,0.6,0.039506547627261315
ca,Catalão,1.0408340855860843e-17,0.23943650189596472,0.15826106379803057,0.4673437010823379,0.47740792933173576,0.9480863966860766,0.9254302390950361,0.7523439981546464,0.255513106402462,0.6387156232823126,0.6387156232823125,0.3132449846793497,0.4373679614803863,0.09523809523809523,0.6,0.010583835847051845
ca,Catalão,1.3877787807814457e-17,0.0540920763541505,0.3508178331554015,0.20549998942349865,0.2162069009366119,0.8910729533013256,0.8538142462647602,0.39126269462441515,0.051941316706433996,0.8824775641323895,0.8824775641323895,0.6946102848179012,0.7619498755434962,0.5238095238095237,0.7333333333333333,0.06026024921000703
ca,Catalão,1.3877787807814457e-17,0.00026141471587359756,0.9262761079355141,0.0083829729847157,0.006309174123959607,0.7195037408591132,0.6391455092154128,0.0755745112083829,0.00013270279769055375,0.9988126843623532,0.9988126843623532,0.9963660425071363,0.9961127150065165,0.7142857142857142,0.8333333333333334,0.046254260442396056
ca,Catalão,1.0408340855860843e-17,0.8944886876573108,0.0783074685430335,0.9443753502842618,0.9449233415996927,0.9999677894823228,0.9999564943293988,0.7926547759570697,0.8971974560728294,0.09323636279590869,0.09323636279590866,0.018117967904752064,0.06559743650377954,0.0,0.0,0.02191281789454802
ca,Catalão,1.3877787807814457e-17,0.10523580049101798,0.03937320642556501,0.2997727881381457,0.31770840051534016,0.9280667646879419,0.901955863383634,0.6214062039481186,0.10758387390078905,0.8033288108900657,0.8033288108900655,0.5403240589337072,0.6118315859150515,0.42857142857142855,0.7666666666666666,0.019594585270943446
